Category,Product Name,Product Price,product URL,Product Features,Ratings,Total Reviews
Mobile,"Canon DSLR Camera [EOS 90D] with EF-S 18-55 is STM Lens Kit, Built-in Wi-Fi, Dual Pixel CMOS AF and 3.0-inch Vari-Angle Touch Screen, Black","$1,349.00",https://www.amazon.com//Canon-Digital-Camera-18-55-Lens/dp/B07WJYY49P/ref=sr_1_1?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-1,"{'Product Dimensions': '3 x 5.5 x 4.1 inches', 'Item Weight': '3.03 pounds', 'ASIN': 'B07WJYY49P', 'Item model number': '3616C009', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n241 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#10,568 in Electronics (See Top 100 in Electronics)\n\n#26 in DSLR Cameras', 'Date First Available': 'August 28, 2019', 'Manufacturer': 'Canon USA'}",,
Mobile,Canon EOS 5D Mark IV Full Frame Digital SLR Camera with EF 24-105mm f/4L IS II USM Lens Kit,"$3,399.00",https://www.amazon.com//Canon-Frame-Digital-Camera-24-105mm/dp/B01KURGS9Y/ref=sr_1_4?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-4,"{'Product Dimensions': '3 x 5.9 x 4.6 inches', 'Item Weight': '1.76 pounds', 'ASIN': 'B01KURGS9Y', 'Item model number': '1483C010', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n640 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#24,980 in Electronics (See Top 100 in Electronics)\n\n#87 in DSLR Cameras', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'August 25, 2016', 'Manufacturer': 'Canon'}",,
Mobile,"On-Camera Ring Light with Hot Shoe Mount, Camera Video Lights for Canon Nikon DSLR Camera, 6 Inch Dimmable Led Ring Light Without Stand, Lighting Accessories for Cameras Tripod",$17.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07091912DWU1X60G1ETV&url=%2FCamera-Dimmable-Without-Lighting-Accessories%2Fdp%2FB08Y6F4BWW%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DCanon%2BDSLR%2BCamera%26qid%3D1619801873%26sr%3D8-9-spons%26psc%3D1&qualifier=1619801873&id=1913123539939756&widgetName=sp_mtf,"{'Package Dimensions': '7.72 x 6.54 x 1.61 inches', 'Item Weight': '7.4 ounces', 'ASIN': 'B08Y6F4BWW', 'Customer Reviews': '4.0 out of 5 stars\n\n\n\n\n\n\n\n\n1 rating\n\n\n\n\n\n\n4.0 out of 5 stars', 'Best Sellers Rank': '#129 in On-Camera Video Lights', 'Date First Available': 'March 6, 2021', 'Manufacturer': 'Pozliv'}",,
Mobile,Canon EOS 2000D / Rebel T7 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,$539.95,https://www.amazon.com//Canon-2000D-Digital-Complete-Accessory/dp/B08S5FD42N/ref=sr_1_11?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-11,"{'Package Dimensions': '17.4 x 11.65 x 6.81 inches', 'Item Weight': '7.17 pounds', 'ASIN': 'B08S5FD42N', 'Item model number': '2000D', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n79 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#2,421 in Electronics (See Top 100 in Electronics)\n\n#5 in DSLR Cameras', 'Date First Available': 'July 25, 2020', 'Manufacturer': 'Canon Cameras Inc.'}",,
Mobile,Canon EOS 4000D / Rebel T100 Digital SLR Camera Body w/Canon EF-S 18-55mm f/3.5-5.6 Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case & More - International Model,$499.95,https://www.amazon.com//Canon-4000D-Digital-Complete-Accessory/dp/B08DQ4QQ6R/ref=sr_1_12?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-12,"{'Package Dimensions': '17.44 x 11.77 x 6.85 inches', 'Item Weight': '6.76 pounds', 'ASIN': 'B08DQ4QQ6R', 'Item model number': '4000D', 'Batteries': '1 Product Specific batteries required.', 'Customer Reviews': '4.4 out of 5 stars\n\n\n\n\n\n\n\n\n119 ratings\n\n\n\n\n\n\n4.4 out of 5 stars', 'Best Sellers Rank': '#3,583 in Electronics (See Top 100 in Electronics)\n\n#10 in DSLR Cameras', 'Date First Available': 'July 27, 2020', 'Manufacturer': 'Canon Cameras Inc.'}",,
Mobile,Canon EOS 90D Digital SLR Camera Body with Canon EF-S 18-55mm f/3.5-5.6 is STM Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case/Bag & More - International Model,"$1,299.95",https://www.amazon.com//Canon-Digital-18-55mm-Complete-Accessory/dp/B08SZJK62V/ref=sr_1_13?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-13,"{'Package Dimensions': '17.4 x 13.39 x 6.18 inches', 'Item Weight': '7.94 pounds', 'ASIN': 'B08SZJK62V', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n15 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#9,978 in Electronics (See Top 100 in Electronics)\n\n#23 in DSLR Cameras', 'Date First Available': 'February 24, 2020', 'Manufacturer': 'Canon Cameras Inc.'}",,
Mobile,"Comica CVM-VM20 Camera Shotgun Microphone with Rycote Shock Mount, Furry Deadcat, OLED Power Display, Super-Cardioid Directional Microphone for Canon Nikon Sony DSLR Camera Smartphone-Rechargeable Mic",$129.00,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A001160519Y4DCI40H1A7&url=%2FCVM-VM20-Microphone-Super-Cardioid-Directional-Smartphone-Rechargeable%2Fdp%2FB08L6D5QCZ%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3DCanon%2BDSLR%2BCamera%26qid%3D1619801873%26sr%3D8-14-spons%26psc%3D1&qualifier=1619801873&id=1913123539939756&widgetName=sp_mtf,"{'Brand': 'Comica', 'Polar Pattern': 'Unidirectional', 'Connector Type': 'USB, 3.5 mm Jack', 'Connectivity Technology': 'USB', 'Audio Sensitivity': '10 dB', 'Number of Channels': '1', 'Signal-to-Noise Ratio': '43 dB', 'Hardware Platform': 'Camera, Smartphone', 'Power Source': 'Corded Electric', 'Number of Batteries': '1 Lithium Polymer batteries required. (included)', 'Item Weight': '1.19 pounds', 'Product Dimensions': '5.51 x 3.94 x 9.45 inches', 'ASIN': 'B08L6D5QCZ', 'Item model number': 'CVM-VM20', 'Batteries': '1 Lithium Polymer batteries required. (included)', 'Customer Reviews': '4.5 out of 5 stars\n\n\n\n\n\n\n\n\n45 ratings\n\n\n\n\n\n\n4.5 out of 5 stars', 'Best Sellers Rank': '#97 in Professional Video Microphones', 'Date First Available': 'October 14, 2020'}",,
Mobile,"Canon EOS 6D Mark II Digital SLR Camera Body, Wi-Fi Enabled","$1,399.00",https://www.amazon.com//Canon-Mark-Digital-Camera-Body/dp/B072MZCJKN/ref=sr_1_15?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-15,"{'Product Dimensions': '2.9 x 5.7 x 4.4 inches', 'Item Weight': '3.45 pounds', 'ASIN': 'B072MZCJKN', 'Item model number': '1897C002', 'Batteries': '1 CR5 batteries required. (included)', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n669 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#5,646 in Electronics (See Top 100 in Electronics)\n\n#14 in DSLR Cameras', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'June 29, 2017', 'Manufacturer': 'Canon'}",,
Mobile,"Canon EOS 3000D (Rebel T100) DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",$449.00,https://www.amazon.com//Canon-EOS-3000D-18-55mm-3-5-5-6/dp/B08KYJR4BX/ref=sr_1_16?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-16,"{'Product Dimensions': '3.06 x 5.08 x 3.99 inches', 'Item Weight': '1.05 pounds', 'ASIN': 'B08KYJR4BX', 'Item model number': 'Canon EOS 3000D', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.8 out of 5 stars\n\n\n\n\n\n\n\n\n36 ratings\n\n\n\n\n\n\n4.8 out of 5 stars', 'Best Sellers Rank': '#15,816 in Electronics (See Top 100 in Electronics)\n\n#42 in DSLR Cameras', 'Date First Available': 'October 9, 2020', 'Manufacturer': ""Al Variety-Canon Intl""}",,
Mobile,"Canon EOS 4000D DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens + 32GB Card, Tripod, Case, and More (18pc Bundle)",$469.00,https://www.amazon.com//Canon-EOS-4000D-18-55mm-3-5-5-6/dp/B087TKG91L/ref=sr_1_17?dchild=1&keywords=Canon+DSLR+Camera&qid=1619801873&sr=8-17,"{'Product Dimensions': '3.06 x 5.08 x 3.99 inches', 'Item Weight': '1.05 pounds', 'ASIN': 'B087TKG91L', 'Item model number': 'Canon EOS 4000D', 'Batteries': '1 Lithium ion batteries required. (included)', 'Customer Reviews': '4.7 out of 5 stars\n\n\n\n\n\n\n\n\n56 ratings\n\n\n\n\n\n\n4.7 out of 5 stars', 'Best Sellers Rank': '#28,381 in Electronics (See Top 100 in Electronics)\n\n#104 in DSLR Cameras', 'Date First Available': 'April 28, 2020', 'Manufacturer': ""Al Variety-Canon Intl""}",,
