Product Name,Product Price,Product URL,Ratings,Brand,Color,Supported Application
"Smart Watch, CNPGD Fitness Tracker for Men Women, Bracelet Band with 24 Hour Body Temperature Heart Rate Monitor Blood Pressure Blood Oxygen(SpO2) Waterproof smartwatch for iPhone Android Phones",18.99,https://www.amazon.com//CNPGD-Bracelet-Temperature-Waterproof-smartwatch/dp/B08DJC6W7S/ref=sr_1_32?dchild=1&keywords=AMAZFIT+smart+watch&qid=1619356324&sr=8-32,3.5 out of 5 stars,CNPGD,Black,"Fitness Tracker, Weather, Sleep Monitor, Messages, Alarm, Pedometer, Heart Rate Monitor"
"Smart Watch, Dirrelo Smart Watches for Women Android Phones and iPhone Compatible, IP68 Waterproof Fitness Tracker,1.55 Inch Touch Screen, Real-time Heart Rate/Blood Oxygen Monitor & Sleep Tracking",49.89,https://www.amazon.com//Dirrelo-Compatible-Waterproof-Real-time-Tracking/dp/B08RN89SQ4/ref=sr_1_15?dchild=1&keywords=Willful+smart+watch&qid=1619354967&sr=8-15,4.0 out of 5 stars,Dirrelo,A-Pink,"Fitness Tracker, Weather, Sleep Monitor, Find My Phone, Messages, Phone, Alarm, Pedometer, Heart Rate Monitor"
"Donerton Smart Watch, Fitness Tracker 1.4 for Android Phones, Fitness Tracker with Heart Rate and Sleep Monitor, Activity Tracker with IP67 Waterproof Pedometer Smartwatch Step Counter for Women Men",37.99,https://www.amazon.com//Donerton-Activity-Waterproof-Pedometer-Smartwatch/dp/B08DTNHDYJ/ref=sr_1_24?dchild=1&keywords=Fitbit+smart+watch&qid=1619355825&sr=8-24,4.1 out of 5 stars,Donerton,Black,Heart Rate Monitor
"Smart Watch, FirYawee Smartwatch for Android Phones and iOS Phones,Fitness Tracker Waterproof IP68 with Heart Rate Monitor and Sleep Monitor,Step and Distance Counter,Smart Watch for Men Women",45.99,https://www.amazon.com//FirYawee-Smartwatch-Android-Waterproof-Distance/dp/B08F54L2FP/ref=sr_1_18?dchild=1&keywords=Willful+smart+watch&qid=1619354967&sr=8-18,4.2 out of 5 stars,FirYawee,Light Pink,"Fitness Tracker, Sleep Monitor, Messages, GPS, Heart Rate Monitor"
"FirYawee Smart Watch for Android Phones Compatible with iPhone Samsung, Fitness Watch with Heart Rate Monitor and Sleep Monitor, Step/Distance/Calorie Counter, 2021 Version smartwatch for Men Women",49.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00719922FNHJ9OPXUZ39&url=%2FFirYawee-Android-Compatible-Distance-smartwatch%2Fdp%2FB08SK5QC36%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DSamsung%2Bsmart%2Bwatch%26qid%3D1619355208%26sr%3D8-12-spons%26psc%3D1&qualifier=1619355208&id=2299912490841464&widgetName=sp_mtf,4.2 out of 5 stars,FirYawee,Pink,
"Fitbit Ace 2 Activity Tracker for Kids, 1 Count",39.95,https://www.amazon.com//Fitbit-Ace-Activity-Tracker-Kids/dp/B07MCD5NJ4/ref=sr_1_21?dchild=1&keywords=Fitbit+smart+watch&qid=1619355825&sr=8-21,4.7 out of 5 stars,Fitbit,Night Sky + Neon Yellow,
"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Bordeaux/Copper Rose, One Size (S and L Bands Included)",210.21,https://www.amazon.com//Fitbit-Smartwatch-Tracking-Bordeaux-Included/dp/B07TWFWJDZ/ref=sr_1_3?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-3,4.6 out of 5 stars,Fitbit,Bordeaux/Copper Rose,"Weather, Sleep Monitor, Reminders, Voice Assistant, Alexa, Phone, GPS, Heart Rate Monitor"
"Fitbit Versa Lite Edition Smart Watch, One Size (S and L Bands Included), 1 Count",159.95,https://www.amazon.com//Fitbit-Versa-Smart-Watch-included/dp/B07MSYTQQ1/ref=sr_1_10?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-10,4.6 out of 5 stars,Fitbit,Mulberry/Mulberry Aluminum,"Fitness Tracker, Reminders, Heart Rate Monitor"
"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",68.95,https://www.amazon.com//Fitbit-Inspire-Fitness-Tracker-Included/dp/B08DFGPTSK/ref=sr_1_19?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-19,4.6 out of 5 stars,Fitbit,Black/Black,
"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Rose, One Size (S & L Bands Included)",68.95,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0555625H6RIK6GKQQ23&url=%2FFitbit-Inspire-Fitness-Tracker-Included%2Fdp%2FB08DFDP1TR%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DLETSCOM%2Bsmart%2Bwatch%26qid%3D1619356058%26sr%3D8-17-spons%26psc%3D1&qualifier=1619356058&id=5090118737998789&widgetName=sp_atf_next,4.6 out of 5 stars,Fitbit,Black/Rose,
"Fitbit Versa 3 Health & Fitness Smartwatch with GPS, 24/7 Heart Rate, Alexa Built-in, 6+ Days Battery, Midnight Blue/Gold, One Size (S & L Bands Included)",179.95,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A1043102PXL8HR4QQMPU&url=%2FFitbit-Fitness-Smartwatch-Midnight-Included%2Fdp%2FB08DFPZG71%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DSamsung%2Bsmart%2Bwatch%26qid%3D1619355298%26sr%3D8-17-spons%26psc%3D1&qualifier=1619355298&id=367578645437265&widgetName=sp_atf_next,4.5 out of 5 stars,Fitbit,Midnight Blue/Gold,"Weather, Sleep Monitor, Reminders, Voice Assistant, Alexa, Phone, GPS, Heart Rate Monitor"
"Fitbit Versa 3 Health & Fitness Smartwatch with GPS, 24/7 Heart Rate, Alexa Built-in, 6+ Days Battery, Pink/Gold, One Size (S & L Bands Included)",179.95,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A10431701BKJWNCXDX1RM&url=%2FFitbit-Fitness-Smartwatch-Battery-Included%2Fdp%2FB08DFGWDZR%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3DSamsung%2Bsmart%2Bwatch%26qid%3D1619355382%26sr%3D8-34-spons%26psc%3D1&qualifier=1619355382&id=7513552825948063&widgetName=sp_atf_next,4.5 out of 5 stars,Fitbit,Pink/Gold,"Weather, Sleep Monitor, Reminders, Voice Assistant, Alexa, Phone, GPS, Heart Rate Monitor"
"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, White/Gold, One Size (S & L Bands Included)",248.95,https://www.amazon.com//Fitbit-Advanced-Smartwatch-Management-Temperature/dp/B08DFLG5SP/ref=sr_1_40?dchild=1&keywords=Samsung+smart+watch&qid=1619355382&sr=8-40,4.5 out of 5 stars,Fitbit,White/Gold,"Weather, Sleep Monitor, Reminders, Voice Assistant, Alexa, Phone, GPS, Heart Rate Monitor"
"Fitbit Sense Advanced Smartwatch with Tools for Heart Health, Stress Management & Skin Temperature Trends, Carbon/Graphite, One Size (S & L Bands Included)",248.95,https://www.amazon.com//Fitbit-Advanced-Smartwatch-Management-Temperature/dp/B08DFCWVZ4/ref=sr_1_4?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-4,4.5 out of 5 stars,Fitbit,Copper,
"Fitbit Versa 3 Health & Fitness Smartwatch with GPS, 24/7 Heart Rate, Alexa Built-in, 6+ Days Battery, Black/Black, One Size (S & L Bands Included)",178.95,https://www.amazon.com//Fitbit-Fitness-Smartwatch-Battery-Included/dp/B08DFPV5Y2/ref=sr_1_5?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-5,4.5 out of 5 stars,Fitbit,Black/Black,"Weather, Sleep Monitor, Reminders, Voice Assistant, Alexa, Phone, GPS, Heart Rate Monitor"
"Fitbit Versa Lite Edition Smart Watch, One Size (S and L Bands Included)",221.99,https://www.amazon.com//Fitbit-Versa-Smart-Watch-included/dp/B07MFZ9MGQ/ref=sr_1_9?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-9,4.5 out of 5 stars,Fitbit,Marina Blue/Marina Blue Aluminum,"Fitness Tracker, Reminders, Heart Rate Monitor"
Fitbit Versa Lite,244,https://www.amazon.com//Fitbit-Versa-Smart-Watch-included/dp/B07MFZ9MHM/ref=sr_1_15?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-15,4.5 out of 5 stars,Fitbit,White/Silver Aluminum,"Weather, Sleep Monitor, Phone, Calendar, GPS, Heart Rate Monitor"
"Fitbit Charge 4 Fitness and Activity Tracker with Built-in GPS, Heart Rate, Sleep & Swim Tracking, Rosewood/Rosewood, One Size (S &L Bands Included)",98.95,https://www.amazon.com//Fitbit-Activity-Tracking-Rosewood-Included/dp/B084CQSL3Q/ref=sr_1_18?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-18,4.5 out of 5 stars,Fitbit,Rosewood/Rosewood,
"Fitbit Aria Air Bluetooth Digital Body Weight and BMI Smart Scale, Black",49.75,https://www.amazon.com//Fitbit-FB203BK-Bluetooth-Digital-Weight/dp/B07VV6GKDS/ref=sr_1_25?dchild=1&keywords=Fitbit+smart+watch&qid=1619355825&sr=8-25,4.5 out of 5 stars,Fitbit,Black,
"Fitbit Versa Lite Smartwatch, Charcoal/Silver Aluminum, One Size (S & L Bands Included)",229.99,https://www.amazon.com//Fitbit-Smartwatch-Charcoal-Aluminum-Included/dp/B07RCKMG6H/ref=sr_1_14?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-14,4.4 out of 5 stars,Fitbit,Charcoal/Silver Aluminum,"Fitness Tracker, Weather, Sleep Monitor, Reminders, Messages, Calendar, GPS, Heart Rate Monitor"
"Fitbit Versa Smart Watch, Peach/Rose Gold Aluminium, One Size (S & L Bands Included)",260,https://www.amazon.com//Fitbit-Versa-Connected-Watch-Well-Being/dp/B07B9WFFJV/ref=sr_1_11?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-11,4.3 out of 5 stars,Fitbit,Pink,"Sleep Monitor, Phone, GPS, Heart Rate Monitor, Music Player"
"Fitbit Versa 3 Health & Fitness Smartwatch W/ Bluetooth Calls/Texts, Fast Charging, GPS, Heart Rate SpO2, 6+ Days Battery (S & L Bands, 90 Day Premium Included) International Version (Black Aluminum)",239.99,https://www.amazon.com//Fitbit-Smartwatch-Bluetooth-Charging-International/dp/B08FS9QFMJ/ref=sr_1_13?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-13,4.3 out of 5 stars,Fitbit,Black Aluminum,
Fitbit Charge 3 Fitness Activity Tracker,164.99,https://www.amazon.com//Fitbit-Fitness-Activity-Graphite-Included/dp/B07FTN21JL/ref=sr_1_22?dchild=1&keywords=Fitbit+smart+watch&qid=1619355825&sr=8-22,4.3 out of 5 stars,Fitbit,Graphite/Black,
"Fitbit Versa Smart Watch, Black/Black Aluminium, One Size (S & L Bands Included)",199.95,https://www.amazon.com//Fitbit-Versa-Smart-Aluminium-Included/dp/B07B48SQGT/ref=sr_1_8?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-8,4.2 out of 5 stars,Fitbit,Black,Fitness Tracker
"Fitbit_Surge Surge Smart Fitness Superwatch, Large (6.3-7.8 in) (US Version)-Black,with Built-in GPS, Multisport functionality, and Automatic, Continuous Heart Rate",99.95,https://www.amazon.com//Fitbit_Surge-Superwatch-Multisport-functionality-Continuous/dp/B08J86LHBF/ref=sr_1_21?dchild=1&keywords=Fitbit+smart+watch&qid=1619355645&sr=8-21,4.1 out of 5 stars,Fitbit,Black,
"Fitbit Charge Wireless Activity Wristband, Black, Small",109.95,https://www.amazon.com//Fitbit-Charge-Wireless-Activity-Wristband/dp/B00N2BVTJU/ref=sr_1_31?dchild=1&keywords=Fitbit+smart+watch&qid=1619355825&sr=8-31,3.8 out of 5 stars,Fitbit,Black,"Fitness Tracker, Sleep Monitor, Phone, Alarm, Pedometer"
"Garmin fenix 6 Sapphire, Premium Multisport GPS Watch, Features Mapping, Music, Grade-Adjusted Pace Guidance and Pulse Ox Sensors, Carbon Gray DLC with Black Band",699.69,https://www.amazon.com//Garmin-Sapphire-Multisport-features-Grade-Adjusted/dp/B07WL4ZHQ5/ref=sr_1_22?dchild=1&keywords=Garmin+smart+watch&qid=1619355578&sr=8-22,4.8 out of 5 stars,Garmin,6 Sapphire - Dark Gray with Black Band,
"Garmin 010-02064-00 Instinct, Rugged Outdoor Watch with GPS, Features Glonass and Galileo, Heart Rate Monitoring and 3-Axis Compass, Graphite",189.99,https://www.amazon.com//Garmin-Instinct-Features-Monitoring-Graphite/dp/B07HYX9P88/ref=sr_1_4?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-4,4.7 out of 5 stars,Garmin,Graphite,
Garmin 010-01746-00 Forerunner 935 Running GPS Unit (Black),300.41,https://www.amazon.com//Garmin-Forerunner-Running-Unit-Black/dp/B06XGD6CS4/ref=sr_1_21?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-21,4.7 out of 5 stars,Garmin,Black,
"Garmin Forerunner 245 Music, GPS Running Smartwatch with Music and Advanced Dynamics, Black",297.5,https://www.amazon.com//Garmin-Forerunner-Smartwatch-Advanced-Dynamics/dp/B07QLVHBLF/ref=sr_1_20?dchild=1&keywords=Garmin+smart+watch&qid=1619355578&sr=8-20,4.7 out of 5 stars,Garmin,Black,
"Garmin 010-02063-00 Forerunner 945, Premium GPS Running/Triathlon Smartwatch with Music, Black",523.97,https://www.amazon.com//Garmin-Forerunner-Premium-Triathlon-Smartwatch/dp/B07QTVMWVL/ref=sr_1_25?dchild=1&keywords=Garmin+smart+watch&qid=1619355578&sr=8-25,4.7 out of 5 stars,Garmin,Black,
"Garmin 010-02173-11 Venu, GPS Smartwatch with Bright Touchscreen Display, Features Music, Body Energy Monitoring, Animated Workouts, Pulse Ox Sensor and More, Black",269.98,https://www.amazon.com//Garmin-Smartwatch-Touchscreen-Monitoring-010-02173-11/dp/B07WLN9RYD/ref=sr_1_5?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-5,4.6 out of 5 stars,Garmin,Black - Venu,"Sleep Monitor, Phone, GPS, Heart Rate Monitor"
"Garmin Vivoactive 4, GPS Smartwatch, Features Music, Body Energy Monitoring, Animated Workouts, Pulse Ox Sensors and More, Black",269,https://www.amazon.com//Garmin-V%C3%ADvoactive-Smartwatch-Features-Monitoring/dp/B07W7W8WBH/ref=sr_1_6?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-6,4.6 out of 5 stars,Garmin,Black,"Sleep Monitor, Reminders, Messages, Contacts, Phone, Calendar, GPS"
"Garmin 010-01689-00 Forerunner 35; Easy-to-Use GPS Running Watch, Black",97.57,https://www.amazon.com//Garmin-Forerunner-Easy-Running-Watch/dp/B01KPUHBK6/ref=sr_1_8?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-8,4.6 out of 5 stars,Garmin,Black,
"Garmin Forerunner 45S, 39mm Easy-to-use GPS Running Watch with Coach Free Training Plan Support, White",149.5,https://www.amazon.com//Garmin-Forerunner-Running-Training-Support/dp/B07QZT6KRD/ref=sr_1_10?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-10,4.6 out of 5 stars,Garmin,White,
"Garmin Forerunner 235, GPS Running Watch, Black/Gray",162.75,https://www.amazon.com//Garmin-Forerunner-Running-Watch-Black/dp/B0160BC1FO/ref=sr_1_19?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-19,4.6 out of 5 stars,Garmin,Black/Gray,
"Garmin fenix 5 Plus, Premium Multisport GPS Smartwatch, Features Color Topo Maps, Heart Rate Monitoring, Music and Contactless Payment, Black with Black Band",398,https://www.amazon.com//Garmin-Multisport-Smartwatch-Features-Monitoring/dp/B07D9FB15R/ref=sr_1_20?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-20,4.6 out of 5 stars,Garmin,Black W/Black band,
"Garmin Forerunner 745, GPS Running Watch, Detailed Training Stats and On-Device Workouts, Essential Smartwatch Functions, Whitestone",499.99,https://www.amazon.com//Garmin-Forerunner-Smartwatch-Whitestone-010-02445-03/dp/B08G597NJJ/ref=sr_1_21?dchild=1&keywords=Garmin+smart+watch&qid=1619355578&sr=8-21,4.6 out of 5 stars,Garmin,Whitestone,
"Garmin Legacy Hero Series, Marvel Captain America Inspired Premium Smartwatch, Includes a Captain America Inspired App Experience",399.99,https://www.amazon.com//Garmin-Captain-Inspired-Smartwatch-Experience/dp/B07X1TVY5W/ref=sr_1_23?dchild=1&keywords=Garmin+smart+watch&qid=1619355578&sr=8-23,4.6 out of 5 stars,Garmin,Blue,Phone
"Garmin 010-02174-01 Vivoactive 4, GPS Smartwatch, Features Music, Body Energy Monitoring, Animated Workouts, Pulse Ox Sensors and More, Silver with Gray Band",291.54,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0711314127PSBP7XGQ65&url=%2FGarmin-v%25C3%25ADvoactive-Smartwatch-Features-Monitoring%2Fdp%2FB07W6RWL2R%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DFitbit%2Bsmart%2Bwatch%26qid%3D1619355645%26sr%3D8-12-spons%26psc%3D1&qualifier=1619355645&id=3949720464094938&widgetName=sp_mtf,4.6 out of 5 stars,Garmin,Silver with Gray Band,"Sleep Monitor, Reminders, Messages, Contacts, Phone, Calendar, GPS"
"Garmin 010-02427-00 Venu Sq, GPS Smartwatch with Bright Touchscreen Display, Up to 6 Days of Battery Life, Slate",149.99,https://www.amazon.com//Garmin-010-02427-00-Smartwatch-Touchscreen-Display/dp/B08FRQ57JG/ref=sr_1_34?dchild=1&keywords=Samsung+smart+watch&qid=1619355298&sr=8-34,4.5 out of 5 stars,Garmin,Black,"Sleep Monitor, Contacts, Social Media, GPS, Heart Rate Monitor"
"Garmin 010-01769-01 Vivoactive 3, GPS Smartwatch with Contactless Payments and Built-In Sports Apps, Black with Silver Hardware",122.49,https://www.amazon.com//Garmin-v%C3%ADvoactive-Smartwatch-Contactless-Payments/dp/B074KBWL9J/ref=sr_1_35?dchild=1&keywords=Samsung+smart+watch&qid=1619355298&sr=8-35,4.5 out of 5 stars,Garmin,Black With Stainless,"Email, GPS, Heart Rate Monitor"
"Garmin Venu Sq, GPS Smartwatch with Bright Touchscreen Display, Up to 6 Days of Battery Life, Orchid Purple",149.5,https://www.amazon.com//Garmin-Smartwatch-Touchscreen-Display-Battery/dp/B08FRP4WKT/ref=sr_1_20?dchild=1&keywords=Fitbit+smart+watch&qid=1619355825&sr=8-20,4.5 out of 5 stars,Garmin,Orchid Purple,"Sleep Monitor, Contacts, Social Media, GPS, Heart Rate Monitor"
"Garmin Venu Sq Music, GPS Smartwatch with Bright Touchscreen Display, Features Music and Up to 6 Days of Battery Life, White and Slate",249.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A060678424Z4YDC78MCT3&url=%2FGarmin-Smartwatch-Touchscreen-Display-Features%2Fdp%2FB08STTHCFC%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3DFitbit%2Bsmart%2Bwatch%26qid%3D1619355825%26sr%3D8-27-spons%26psc%3D1&qualifier=1619355825&id=3275473512339420&widgetName=sp_mtf,4.5 out of 5 stars,Garmin,White and Slate,"Sleep Monitor, Phone, GPS, Heart Rate Monitor"
"Garmin vivomove HR Sport, Hybrid Smartwatch for Men and Women, Merlot-Gold Small Medium 010-01850-17",99.99,https://www.amazon.com//Garmin-vivomove-Smartwatch-Merlot-Gold-010-01850-17/dp/B07ZHZQC4S/ref=sr_1_13?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-13,4.4 out of 5 stars,Garmin,Purple,"Sleep Monitor, Reminders, Messages, Calendar, Heart Rate Monitor"
"Garmin Hybrid Smartwatch with Real Watch Hands and Hidden Color Touchscreen Displays, rose gold with light sand case and band, 39mm, 010-02238-02",185.3,https://www.amazon.com//Garmin-v%C3%ADvomove-Smartwatch-Touchscreen-Display/dp/B07VZYRXQ3/ref=sr_1_14?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-14,4.4 out of 5 stars,Garmin,Rose Gold with Light Sand Case and Band,"Sleep Monitor, Messages, Calendar, GPS"
"Garmin D2 Delta PX, GPS Pilot Watch with Pulse Ox Sensor, Includes Smartwatch Features, Heart Rate and Music, Titanium with Titanium Band",1249,https://www.amazon.com//Garmin-Sensor-Smartwatch-Features-Titanium/dp/B07FVMD44H/ref=sr_1_16?dchild=1&keywords=Garmin+smart+watch&qid=1619355436&sr=8-16,4.4 out of 5 stars,Garmin,DLC Titanium Band,
