Product Name,Product Price,Product URL,Ratings,Brand,Memory Storage Capacity,Color
"Fire HD 8 Kids Edition tablet 2-pack, 8"" HD display, 32 GB, Blue/Pink Kid-Proof Case",279.98,https://www.amazon.com//Fire-HD-8-Kids-Edition-tablet/dp/B087FCRL6C/ref=sr_1_24?dchild=1&keywords=Amazon+Tablet&qid=1619352395&sr=8-24,,Amazon,32 GB,
"Fire 7 Tablet (7"" display, 32 GB) - Blue + Amazon Standing Case (Twilight Blue)",94.98,https://www.amazon.com//Fire-Tablet-display-32-GB/dp/B07Q96918J/ref=sr_1_26?dchild=1&keywords=Amazon+Tablet&qid=1619352395&sr=8-26,,Amazon,32 GB,
Fire HD 8 Smart Home Bundle including Fire HD 8 Tablet 64 GB Ad-Supported (Twilight Blue) with Blink Mini Camera,147.98,https://www.amazon.com//Bundle-including-Tablet-Ad-Supported-Twilight/dp/B08XV7G418/ref=sr_1_29?dchild=1&keywords=Amazon+Tablet&qid=1619352395&sr=8-29,,Amazon,64 GB,
"Fire 7 Family Pack - Fire 7 Tablet (16GB, Black) + Fire 7 Kids Edition Tablet (16GB, Blue)",149.98,https://www.amazon.com//Fire-Family-Pack-Tablet-Black/dp/B07V9JJHS3/ref=sr_1_30?dchild=1&keywords=Amazon+Tablet&qid=1619352395&sr=8-30,,Amazon,16 GB,
Fire HD 8 Smart Home Bundle including Fire HD 8 Tablet 32 GB Ad-Supported (Plum) with Blink Mini Camera,117.98,https://www.amazon.com//Bundle-including-Tablet-Ad-Supported-Camera/dp/B08XV5SH3Q/ref=sr_1_34?dchild=1&keywords=Amazon+Tablet&qid=1619352395&sr=8-34,,Amazon,32 GB,
Fire HD 8 Smart Home Bundle including Fire HD 8 Tablet 32 GB Ad-Supported (Black) with Blink Mini Camera,117.98,https://www.amazon.com//Bundle-including-Tablet-Ad-Supported-Camera/dp/B08XV3ZLVL/ref=sr_1_35?dchild=1&keywords=Amazon+Tablet&qid=1619352395&sr=8-35,,Amazon,32 GB,
"Android Tablet 10 Inch, 1080p Full HD Display, 1920x1200 IPS Touchscreen, Octa-Core Processor, 4GB RAM, 64GB Storage, 128GB Expand, 5G/2.4G WiFi, 8MP+2MP Camera, GPS, Bluetooth 5.0, FM, Metal Body",148.88,https://www.amazon.com//1920x1200-Touchscreen-Octa-Core-Processor-Bluetooth/dp/B08RBL142P/ref=sr_1_36?dchild=1&keywords=Samsung+Tablet&qid=1619352038&sr=8-36,4.5,BinBin,64 GB,Black
"Dragon Touch Notepad K10 Tablet, 10 inch Android Tablet, 2GB RAM 32GB Storage, Quad-Core Processor, 10.1 IPS HD Display, Micro HDMI, Android 9.0 Pie, 5G WiFi, Metal Body Black",129.99,https://www.amazon.com//Dragon-Touch-Storage-Quad-Core-Processor/dp/B07WLNZB78/ref=sr_1_32?dchild=1&keywords=Apple+Tablet&qid=1619352910&sr=8-32,4.4,Dragon Touch,32 GB,
"Tablet 10 inch Android Tablet, Quad-Core Processor 32GB Storage, Dual Sim Card, WiFi, Bluetooth, GPS, 128GB Expand Support, IPS Full HD Display (Black)",109.99,https://www.amazon.com//Android-Quad-Core-Processor-Storage-Bluetooth/dp/B08YJG2R47/ref=sr_1_33?dchild=1&keywords=Samsung+Tablet&qid=1619352038&sr=8-33,4.6,FEONAL,32 GB,
"Android Tablet 10 Inch, 5G WiFi Tablet with Dual Camera, 16GB Storage, Android 8.1 Tablets PC, Quad-Core Processor, Google Certified, 1280x800 IPS HD Display, Bluetooth, GPS, FM - Black",99.09,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0670711XT6NG5Z0I66F&url=%2FCertified-1280x800-Quad-Core-Processor-Bluetooth%2Fdp%2FB07XYRW43B%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DAmazon%2BTablet%26qid%3D1619352203%26sr%3D8-22-spons%26psc%3D1&qualifier=1619352203&id=5338681177652492&widgetName=sp_btf,4,FLYINGTECH,16 GB,Black
"iProda Android Tablet, 10.1 Inch HD IPS Display, Android 9.0, 3GB RAM & 64GB ROM, Google GMS Verified, WiFi, Bluetooth, GPS, Super Slim Design with Metal Shell & Tablet Case, Best for Online Courses",119.99,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0956745GSXLPGR5STZA&url=%2FiProda-Android-Verified-Bluetooth-Courses%2Fdp%2FB087D37S5M%2Fref%3Dsr_1_35_sspa%3Fdchild%3D1%26keywords%3DApple%2BTablet%26qid%3D1619352910%26sr%3D8-35-spons%26psc%3D1&qualifier=1619352910&id=2445390009833387&widgetName=sp_btf,3.9,IProda,32 GB,
"2021 Lenovo Chromebook Flex 3 2-in-1 11.6"" HD Touchscreen Laptop, MediaTek MT8173C Quad-Core Processor, 4GB RAM, 32GB eMMC, HDMI, Webcam, Wi-Fi, Bluetooth, Chrome OS, Platinum Gray, W/ IFT Accessories",279,https://www.amazon.com//Lenovo-Chromebook-Touchscreen-Quad-Core-Accessories/dp/B08QRN5TLN/ref=sr_1_21?dchild=1&keywords=lenovo+tablet&qid=1619352617&sr=8-21,4.8,Lenovo,32 GB,
"Lenovo Tab M8 Tablet, 8"" HD Android Tablet, Quad-Core Processor, 2GHz, 32GB Storage, Full Metal Cover, Long Battery Life, Android 9 Pie, ZA5G0060US, Slate Black",99.99,https://www.amazon.com//Lenovo-Android-Quad-Core-Proocessor-ZA5G0060US/dp/B07Y2KBBTD/ref=sr_1_4?dchild=1&keywords=lenovo+tablet&qid=1619352518&sr=8-4,4.6,Lenovo,32 GB,
"2020 Lenovo Yoga C740 2-in-1 14"" Full HD 1080p Touchscreen Laptop PC, Intel Core i5-10210U Quad Core Processor, 8GB DDR4 RAM, 256GB SSD, Backlit Keyboard, Webcam, WiFi, Bluetooth, Windows 10, Mica",645,https://www.amazon.com//Lenovo-Touchscreen-i5-10210U-Processor-Bluetooth/dp/B08LGP41CW/ref=sr_1_33?dchild=1&keywords=lenovo+tablet&qid=1619352617&sr=8-33,4.6,Lenovo,256 GB,
"Lenovo Tab M10 Plus, 10.3"" FHD Android Tablet, Octa-Core Processor, 32GB Storage, 2GB RAM, Iron Grey, ZA5T0263US",149,https://www.amazon.com//Lenovo-Android-Octa-Core-Processor-ZA5T0263US/dp/B083JVJQH4/ref=sr_1_3?dchild=1&keywords=lenovo+tablet&qid=1619352518&sr=8-3,4.5,Lenovo,32 GB,
"Lenovo Yoga Smart Tab, 10.1"" FHD Android Tablet, Octa-Core Processor, 64GB Storage, 4GB RAM, Iron Grey, ZA3V0005US",268,https://www.amazon.com//Lenovo-Android-Octa-Core-Processor-ZA3V0005US/dp/B0881HDRTH/ref=sr_1_8?dchild=1&keywords=lenovo+tablet&qid=1619352518&sr=8-8,4.5,Lenovo,64 GB,Grey
"Lenovo Chromebook Duet 2-in-1 10.1 WUXGA (1920 x 1200) Display, MediaTek Helio P60T, 4GB LPDDR4X RAM, 64GB SSD, Integrated ARM G72 MP3 Graphics, Chrome OS, ZA6F0031US, Ice Blue+Iron Grey (Renewed)",201.9,https://www.amazon.com//Lenovo-Chromebook-MediaTek-Integrated-ZA6F0031US/dp/B08FKFG1R5/ref=sr_1_22?dchild=1&keywords=lenovo+tablet&qid=1619352617&sr=8-22,4.5,Lenovo,64 GB,
"Lenovo Tab M10 HD 10.1"" Tablet, Android 9.0, 16GB Storage, Quad-Core Processor, WiFi, Bluetooth, ZA4G0000US, Slate Black",169.99,https://www.amazon.com//Lenovo-10-1-Android-Tablet-16GB/dp/B07V3F7SNR/ref=sr_1_6?dchild=1&keywords=lenovo+tablet&qid=1619352518&sr=8-6,4.4,Lenovo,16 GB,
"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",582.12,https://www.amazon.com//Lenovo-Processor-Graphics-Included-81X20005US/dp/B086226DDB/ref=sr_1_19?dchild=1&keywords=lenovo+tablet&qid=1619352518&sr=8-19,4.4,Lenovo,256 GB,
"Lenovo ThinkPad X1 Yoga 4th Gen 20QF000KUS 14"" Touchscreen 2 in 1 Ultrabook - 2560 X 1440 - Core i7 i7-8665U - 16 GB RAM - 512 GB SSD - Gray - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - in-",1659.99,https://www.amazon.com//Lenovo-ThinkPad-20QF000KUS-Touchscreen-Ultrabook/dp/B07V24DB8L/ref=sr_1_39?dchild=1&keywords=lenovo+tablet&qid=1619352754&sr=8-39,4.4,Lenovo,512 GB,
"Lenovo Chromebook S330 14in Laptop Computer, Mediatek MT8173C up to 1.7 Ghz, 4GB RAM, 32GB eMMC SSD, Bluetooth, HDMI, USB-C, SD Card Reader, Chrome OS, Black (Renewed)",199.9,https://www.amazon.com//Lenovo-Chromebook-Computer-Mediatek-Bluetooth/dp/B07Q36QYGW/ref=sr_1_34?dchild=1&keywords=lenovo+tablet&qid=1619352617&sr=8-34,4.2,Lenovo,32 GB,
"Lenovo Yoga 730 2-in-1 13.3"" FHD IPS Touchscreen Business Laptop/Tabelt, Intel Quad-Core i5-8250U 8GB DDR4 256GB PCIe SSD Thunderbolt Fingerprint Reader Windows Ink Backlit Keyboard Win 10",755,https://www.amazon.com//Lenovo-Yoga-730-Touchscreen-Thunderbolt/dp/B07JHLB3ZD/ref=sr_1_35?dchild=1&keywords=lenovo+tablet&qid=1619352617&sr=8-35,4.2,Lenovo,256 GB,
"Lenovo Smart Tab M10 Plus, FHD 10.3"" Android Tablet, Alexa-Enabled Smart Device, Octa-Core Processor, 32GB Storage, 2GB RAM, Wi-Fi, Bluetooth, ZA6M0030US, Platinum Grey",167.99,https://www.amazon.com//Lenovo-Alexa-Enabled-Octa-Core-Processor-ZA6M0030US/dp/B087KPPYKS/ref=sr_1_5?dchild=1&keywords=lenovo+tablet&qid=1619352518&sr=8-5,4.1,Lenovo,32 GB,
"Lenovo N21, 11.6 inches, HD, 16GB, SD Chromebook Intel Celeron N2840, 4GB - Black (Renewed)",113.99,https://www.amazon.com//Lenovo-Chromebook-Bluetooth-Certified-Refurbished/dp/B079R7574J/ref=sr_1_20?dchild=1&keywords=lenovo+tablet&qid=1619352617&sr=8-20,4.1,Lenovo,16 GB,
